github.com/AlDanial/cloc v 1.74  T=74454.16 s (8.0 files/s, 4628.7 lines/s)
----------------------------------------------------------------------------------------
Language                              files          blank        comment           code
----------------------------------------------------------------------------------------
HTML                                  83521       48611798        2654417       98673904
Java                                  111816        3215427       39212664       24982929
C++                                   68389        3564224        3087035       24666232
C/C++ Header                          82241        2646237        4606405       23517974
XML                                   60923         277307         831573       11848986
C                                     37895        1949991        2387509       11594678
D                                     48311           1377            515        5245079
JSON                                   4967           3395              0        4476718
Python                                21379        1003397        1430021        4097457
Assembly                               5133         269544         338786        3542594
Rust                                   7894         286961         650501        2399895
Go                                     9914         268236         387460        2325581
Bourne Shell                           6726         157685         206723         876360
PO File                                 186         232677         253106         613188
Maven                                  6814          13345          21281         506443
Markdown                               4642         151384             14         472408
Kotlin                                 4591          75709         117300         463903
make                                   4415          63800          72256         367798
RobotFramework                           13             82            162         272806
m4                                      444          27223           8012         253715
JavaScript                              906          28338          44489         227065
CMake                                  2343          30421          33291         203290
Objective C                            1754          35082          90068         150462
Perl                                    418          22624          23663         141433
C#                                      802          20707          37989         141121
Protocol Buffers                       1739          37620          91728         127913
YAML                                   1925           6209           6293         125494
Pascal                                  348          32071         919405         124483
MSBuild script                          276            249            128         114663
GLSL                                   2100          12375           4103         105465
Windows Module Definition               417           8709           1599          94728
Objective C++                           795          20428          31779          94556
CSS                                     320          11478           4372          66892
Fortran 77                               75            111          21413          47879
Groovy                                 1138          10914          15795          47100
TypeScript                              362           7025          12378          43668
Bourne Again Shell                     1102           9712          16293          42960
Smalltalk                               368           1579            108          39923
Ruby                                    269           7881           7305          37440
PHP                                     324           6268          19378          35838
yacc                                     29           3534           1972          30888
diff                                     70            330           1972          30870
OpenCL                                  254           5743          19339          28767
NAnt script                             350           3147             36          28255
Lua                                     110           2601           2336          23890
TeX                                      50           3278           9701          23368
ANTLR Grammar                           518           4143           3032          23039
Windows Resource File                   716           3685           1421          22894
XSD                                     257           2389           4456          21946
TOML                                    478           2544           2990          17582
OCaml                                   107           2135           3049          17111
DOS Batch                               371           3614           1628          16000
SQL                                     345           1236           5255          14426
IDL                                      41           1557              0          13882
XSLT                                     60           1303           1035          12451
Dockerfile                              842           3243          12157          11828
DTD                                      65           3260           9163          11642
INI                                     232           1690             74          10986
Vuejs Component                          64            871            623           9355
Ant                                      92           1792           2626           7464
Glade                                     2              0            109           7454
Sass                                     79            753            351           6917
lex                                      27           1220           1020           6785
LESS                                     71           1177           1532           5535
XHTML                                     5            584             38           5478
Dart                                     16            899            378           5238
CUDA                                     84           1456           1756           4629
Swift                                    59            880           1028           4472
awk                                      63            672           1140           4393
ActionScript                             56            860           2550           3715
Qt                                        7              0              2           3678
Visual Basic                             25            434            931           3213
Freemarker Template                      53            717            496           3122
Prolog                                  140            534             -1           2684
Expect                                   48            437            798           2531
Lisp                                     32            461            731           2484
MATLAB                                   17            458            829           2253
Velocity Template Language               29            519             16           2176
Cython                                   11            263            349           1876
HLSL                                     13            320             79           1823
Mako                                     22            240            179           1821
dtrace                                   14            358             62           1774
WiX source                               51            162             42           1738
Ada                                      11            599            560           1686
Qt Linguist                               1              4              0           1258
Arduino Sketch                           12            111            129           1245
PowerShell                               21            321            526           1135
bc                                       29            166            137            813
Scheme                                    1              0              0            782
Julia                                     1            164            450            720
vim script                               14            120            161            566
F#                                        9             85              0            355
sed                                      20             26            169            330
Korn Shell                                2             40             46            226
Qt Project                                5             17              5            187
WiX string localization                  11             20              0            177
Clean                                     1             11              0            168
C Shell                                   5             34             28            154
ERB                                       1             25              0            102
Cucumber                                  1             27              9             76
Patran Command Language                   1              0              0             60
R                                         2              8              8             52
JSP                                       2              3              0             51
Elixir                                    6              0             14             38
SAS                                       1             14             22             32
Scala                                     3             15             46             29
MXML                                      1             10              0             23
Windows Message File                      2              5              0             22
Fortran 95                                1              3              0             18
Stata                                     1              0              0             14
Visualforce Component                     2              0              0             11
Tcl/Tk                                    1              6              6             11
Standard ML                               8              0              0             10
Fortran 90                                3              1            263              8
Puppet                                    1              0              0              1
Specman e                                 1              0              0              1
----------------------------------------------------------------------------------------
SUM:                                 594151       63196934       57747176      223683815
----------------------------------------------------------------------------------------
