FieldSub(class_name='android.Manifest$permission', name='ALLOW_SLIPPERY_TOUCHES')
FieldSub(class_name='android.R$styleable', name='SpringInterpolator')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_ACTIVITY_RESULT_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_CREATE_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_DESTROY_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_PAUSE_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_RESTART_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_RESUME_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_START_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='SLOW_ON_STOP_THRESHOLD_MS')
FieldSub(class_name='android.app.Activity', name='mActivityStub')
FieldSub(class_name='android.app.ActivityManager', name='DISPLAY_CHANGE_ABILITY_FORCE_RESIZEABLE')
FieldSub(class_name='android.app.ActivityManager', name='DISPLAY_CHANGE_ABILITY_INTERACTABLE_IMMEDIATELY')
FieldSub(class_name='android.app.ActivityManager', name='DISPLAY_CHANGE_ABILITY_RESIZEABLE')
FieldSub(class_name='android.app.ActivityManager', name='DISPLAY_CHANGE_ABILITY_UNDEFINED')
FieldSub(class_name='android.app.ActivityManager', name='DISPLAY_CHANGE_ABILITY_UNRESIZEABLE')
FieldSub(class_name='android.app.ActivityManager', name='START_INCOMPATIBLE')
FieldSub(class_name='android.app.ActivityOptions', name='ANIM_LAUNCH_ACTIVITY_FROM_ROUNDED_VIEW')
FieldSub(class_name='android.app.ActivityOptions', name='ANIM_LAUNCH_ACTIVITY_WITH_SCALED_THUMB')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ACTIVITY_OPTIONS_INJECTOR')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIMATION_REENTER_FINISHED_LISTENER')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIMATION_REENTER_STARTED_LISTENER')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_FOREGROUND_COLOR')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_PRESSED_SCALE')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_RADIUS')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_LAUNCHED_FROM_ROUNDEDVIEW')
FieldSub(class_name='android.app.ActivityOptions', name='mActivityOptionsInjector')
FieldSub(class_name='android.app.ActivityOptions', name='mAnimationReenterFinishedListener')
FieldSub(class_name='android.app.ActivityOptions', name='mAnimationReenterStartedListener')
FieldSub(class_name='android.app.ActivityOptions', name='mForeGroundColor')
FieldSub(class_name='android.app.ActivityOptions', name='mLunchedFromRoundedView')
FieldSub(class_name='android.app.ActivityOptions', name='mPressedScale')
FieldSub(class_name='android.app.ActivityOptions', name='mRadius')
FieldSub(class_name='android.app.ActivityThread', name='mAnrAppManager')
FieldSub(class_name='android.app.ActivityThread', name='mBoundsCompatInfoMap')
FieldSub(class_name='android.app.ActivityThread', name='mDisplayId')
FieldSub(class_name='android.app.ActivityThread', name='mDssScale')
FieldSub(class_name='android.app.ActivityThread', name='mOverrideConfig')
FieldSub(class_name='android.app.ActivityThread', name='mTopActivityClient')
FieldSub(class_name='android.app.AlarmManager', name='PRE_SCHEDULE_POWER_OFF_ALARM')
FieldSub(class_name='android.app.AppOpsManager', name='MIUI_OP_END')
FieldSub(class_name='android.app.AppOpsManager', name='MIUI_OP_NAME')
FieldSub(class_name='android.app.AppOpsManager', name='MIUI_OP_START')
FieldSub(class_name='android.app.AppOpsManager', name='MODE_ASK')
