FieldSub(class_name='android.Manifest$permission', name='AUTHORIZE_OUTGOING_SMS')
FieldSub(class_name='android.R$styleable', name='SpringInterpolator')
FieldSub(class_name='android.app.ActivityManager', name='START_INCOMPATIBLE')
FieldSub(class_name='android.app.ActivityOptions', name='ANIM_LAUNCH_ACTIVITY_FROM_ROUNDED_VIEW')
FieldSub(class_name='android.app.ActivityOptions', name='ANIM_LAUNCH_ACTIVITY_WITH_SCALED_THUMB')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ACTIVITY_OPTIONS_INJECTOR')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_FOREGROUND_COLOR')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_PRESSED_SCALE')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_ANIM_RADIUS')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_LAUNCHED_FROM_ROUNDEDVIEW')
FieldSub(class_name='android.app.AppOpsManager', name='MIUI_OP_END')
FieldSub(class_name='android.app.AppOpsManager', name='MIUI_OP_START')
FieldSub(class_name='android.app.AppOpsManager', name='MODE_ASK')
FieldSub(class_name='android.app.AppOpsManager', name='OP_ACCESS_GALLERY')
FieldSub(class_name='android.app.AppOpsManager', name='OP_ACCESS_LOCATION_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_ACCESS_SOCIALITY')
FieldSub(class_name='android.app.AppOpsManager', name='OP_ACCESS_XIAOMI_ACCOUNT')
FieldSub(class_name='android.app.AppOpsManager', name='OP_ANDROID_LOCATION_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_AUTO_START')
FieldSub(class_name='android.app.AppOpsManager', name='OP_BACKGROUND_LOCATION')
FieldSub(class_name='android.app.AppOpsManager', name='OP_BACKGROUND_START_ACTIVITY')
FieldSub(class_name='android.app.AppOpsManager', name='OP_BLUETOOTH_CHANGE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_BOOT_COMPLETED')
FieldSub(class_name='android.app.AppOpsManager', name='OP_CAN_BE_RECORDED')
FieldSub(class_name='android.app.AppOpsManager', name='OP_DATA_CONNECT_CHANGE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_DELETE_CALL_LOG')
FieldSub(class_name='android.app.AppOpsManager', name='OP_DELETE_CONTACTS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_DELETE_MMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_DELETE_SMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_EXACT_ALARM')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_ANONYMOUS_ID')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_INSTALLED_APPS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_OAID')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_OAID_USER')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_PHONE_NUMBER_OPERATOR')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_TASKS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_GET_UDEVICE_ID')
FieldSub(class_name='android.app.AppOpsManager', name='OP_INSTALL_SHORTCUT')
FieldSub(class_name='android.app.AppOpsManager', name='OP_MEDIA_PROJECTION')
FieldSub(class_name='android.app.AppOpsManager', name='OP_NFC')
FieldSub(class_name='android.app.AppOpsManager', name='OP_NFC_CHANGE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_POST_LOCAL_NOTIFICATION')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_CALENDAR_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_CALL_LOG_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_CONTACTS_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_MMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_NOTIFICATION_SMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_PHONE_STATE_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_READ_SMS_REAL')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SEC_CONTROL_DNS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SEND_MMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SERVICE_FOREGROUND')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHAKE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHOW_DEAMON_NOTIFICATION')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHOW_WHEN_LOCKED')
FieldSub(class_name='android.app.AppOpsManager', name='OP_WIFI_CHANGE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_WRITE_MMS')
FieldSub(class_name='android.app.ApplicationPackageManager', name='IS_INTERNATIONAL')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_DELETED')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_UPDATED')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_UPDATE_PROGRESS_REGISTRATION')
FieldSub(class_name='android.app.DownloadManager', name='COLUMN_XL_TASK_OPEN_MARK')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_CURRENT_BYTES')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_STATUS')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_TOTAL_BYTES')
FieldSub(class_name='android.app.DownloadManager', name='GLOBAL_UNDERLYING_COLUMNS')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_APPLICATION_PACKAGENAME')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_REGISTER_DOWNLOADS_UPDATE_PROGRESS')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_UNREGISTER_DOWNLOADS_UPDATE_PROGRESS')
FieldSub(class_name='android.app.DownloadManager', name='MIUI_UNDERLYING_COLUMNS')
FieldSub(class_name='android.app.DownloadManager', name='MIUI_UNDERLYING_COLUMNS_DEV')
FieldSub(class_name='android.app.DownloadManager', name='PAUSED_BY_APP')
FieldSub(class_name='android.app.DownloadManager', name='PAUSE_INSUFFICIENT_SPACE')
FieldSub(class_name='android.app.DownloadManager', name='PERMISSION_SILENCE_INSTALL')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_MANUAL')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_NONE')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_SILENCE')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_APPLICATION_CREATE_CALLED')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_CONFIGURATION_CHANGED_CALLED')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_IDLE_CALLED')
FieldSub(class_name='android.app.Notification', name='extraNotification')
FieldSub(class_name='android.app.NotificationChannel', name='MAX_VIBRATION_LENGTH')
FieldSub(class_name='android.app.ResourcesManager', name='FRAMEWORK_RES_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='IS_MIUIX_EXIST')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_CODE_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_PATH')
FieldSub(class_name='android.app.TaskInfo', name='mIsCastMode')
FieldSub(class_name='android.app.TaskInfo', name='topActivityInMiuiSizeCompat')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_PRIVACY')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_UNDEFINED')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_FREEFORM_REMBER_LAUNCH_PARAMS')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_NO')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_UNDEFINED')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_SPLITMODE_YES')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_FREEFORM')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_PRIMARY')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_SECONDARY')
FieldSub(class_name='android.app.WindowConfiguration', name='PINNED_WINDOWING_MODE_ELEVATION_IN_DIP')
FieldSub(class_name='android.app.WindowConfiguration', name='WINDOWING_MODE_FREEFORM_PC')
FieldSub(class_name='android.app.settings.SettingsEnums', name='BACKUP_CALLING_DIALOG')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioDevice', name='AUDIO_DEVICE_OUT_MULTIROUTE')
