FieldSub(class_name='android.Manifest$permission', name='SET_UNRESTRICTED_GESTURE_EXCLUSION')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraints')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix_value')
FieldSub(class_name='android.app.ActivityThread$ActivityClientRecord', name='mTaskFragmentToken')
FieldSub(class_name='android.app.BroadcastOptions', name='KEY_ALARM_BROADCAST')
FieldSub(class_name='android.app.NotificationChannel', name='MAX_VIBRATION_LENGTH')
FieldSub(class_name='android.app.PolicyProto', name='CONVERSATIONS')
FieldSub(class_name='android.app.ambientcontext.AmbientContextEvent', name='EVENT_BACK_DOUBLE_TAP')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_HISTORY_LOADED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_ALL_APPS')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_OPTIMIZED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_RESTRICTED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_UNRESTRICTED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_DAILY_SHOW_ALL')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_DAILY_TIME_SLOT')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_HIDDEN_APP_COUNT')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_SHOWN_APP_COUNT')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_DOCK_SETUP_STATE_CHANGED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_DOCK_SETUP_STEP_COMPLETE')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_DOCK_SETUP_STEP_START')
FieldSub(class_name='android.app.settings.SettingsEnums', name='BATTERY_OPTIMIZED_APPS_LIST')
FieldSub(class_name='android.app.settings.SettingsEnums', name='CLEAR_CALLING')
FieldSub(class_name='android.app.settings.SettingsEnums', name='DIALOG_ACCESSIBILITY_HEARING_AID_PAIR_ANOTHER')
FieldSub(class_name='android.app.settings.SettingsEnums', name='LIMITED_WARRANTY_COUNTRY_LIST')
FieldSub(class_name='android.app.settings.SettingsEnums', name='LIMITED_WARRANTY_DETAILS')
FieldSub(class_name='android.app.settings.SettingsEnums', name='SUW_DREAM')
FieldSub(class_name='android.app.usage.UsageStatsManager', name='REASON_SUB_DEFAULT_APP_RESTORED')
FieldSub(class_name='android.bluetooth.BluetoothLeAudio', name='CONTEXT_TYPE_ALERTS')
FieldSub(class_name='android.bluetooth.BluetoothLeAudio', name='CONTEXT_TYPE_CONVERSATIONAL')
FieldSub(class_name='android.bluetooth.BluetoothLeAudio', name='CONTEXT_TYPE_EMERGENCY_ALARM')
