FieldSub(class_name='android.Manifest$permission', name='SET_UNRESTRICTED_GESTURE_EXCLUSION')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraints')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix')
FieldSub(class_name='android.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix_value')
FieldSub(class_name='android.app.ActivityOptions', name='KEY_DISMISS_KEYGUARD')
FieldSub(class_name='android.app.ActivityOptions', name='mDismissKeyguard')
FieldSub(class_name='android.app.ActivityThread$ActivityClientRecord', name='mTaskFragmentToken')
FieldSub(class_name='android.app.BroadcastOptions', name='KEY_ALARM_BROADCAST')
FieldSub(class_name='android.app.BroadcastOptions', name='mIsAlarmBroadcast')
FieldSub(class_name='android.app.HomeVisibilityListener', name='mActivityTaskManager')
FieldSub(class_name='android.app.HomeVisibilityListener', name='mMaxScanTasksForHomeVisibility')
FieldSub(class_name='android.app.IActivityClientController$Stub', name='TRANSACTION_getTaskWindowingMode')
FieldSub(class_name='android.app.IActivityClientController$Stub', name='TRANSACTION_setForceSendResultForMediaProjection')
FieldSub(class_name='android.app.NotificationChannel', name='MAX_VIBRATION_LENGTH')
FieldSub(class_name='android.app.PolicyProto', name='CONVERSATIONS')
FieldSub(class_name='android.app.PropertyInvalidatedCache', name='PROPERTY_FAILURE_RETRY_DELAY_MILLIS')
FieldSub(class_name='android.app.PropertyInvalidatedCache', name='PROPERTY_FAILURE_RETRY_LIMIT')
FieldSub(class_name='android.app.PropertyInvalidatedCache', name='sGlobalLock')
FieldSub(class_name='android.app.ambientcontext.AmbientContextEvent', name='EVENT_BACK_DOUBLE_TAP')
FieldSub(class_name='android.app.ambientcontext.IAmbientContextManager$Stub', name='TRANSACTION_registerObserverWithCallback')
FieldSub(class_name='android.app.appsearch.SearchResult$MatchInfo', name='mPropertyPathObject')
FieldSub(class_name='android.app.appsearch.aidl.IAppSearchManager$Stub', name='TRANSACTION_searchSuggestion')
FieldSub(class_name='android.app.servertransaction.PauseActivityItem', name='mAutoEnteringPip')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_HISTORY_LOADED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_ALL_APPS')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_OPTIMIZED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_RESTRICTED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_OPTIMIZED_APPS_FILTER_UNRESTRICTED')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_DAILY_SHOW_ALL')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_DAILY_TIME_SLOT')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_HIDDEN_APP_COUNT')
FieldSub(class_name='android.app.settings.SettingsEnums', name='ACTION_BATTERY_USAGE_SHOWN_APP_COUNT')
